t_n,r_n,p_n,F(t_n)
3.22,1.298708282728713,0.07612759644648348,-2.246074555540341
3.23,1.2993572549654009,0.05368211435619524,-2.243021862517306
3.24,1.299781925015837,0.03126193471029715,-2.241014066662312
3.25,1.2999824936596067,0.00885654925614271,-2.2400630241685766
3.2600000000000002,1.2999590560009597,-0.013544637117892541,-2.240174250638473
3.27,1.299711600917249,-0.03595224389262437,-2.2413471043078923
3.2800000000000002,1.2992400111231073,-0.05837685323773639,-2.243574764714512
3.29,1.2985440638524943,-0.08082894709230107,-2.2468440061984216
3.3000000000000003,1.2976234321812614,-0.10331884092198412,-2.251134759738189
3.31,1.2964776870340546,-0.12585661197335982,-2.2564194505369475
3.3200000000000003,1.2951062999417944,-0.1484520196875015,-2.2626620922913867
3.33,1.293508646640305,-0.17111441570896072,-2.2698171120004558
3.34,1.2916840116276154,-0.19385264062537313,-2.277827871282028
3.35,1.2896315938277976,-0.2166749041879085,-2.286624841225045
3.36,1.2873505135438572,-0.23958864528175766,-2.2961233775447862
3.37,1.2848398209221625,-0.2626003673241427,-2.3062210309322295
3.38,1.2820985061973744,-0.28571544404711907,-2.3167943136630456
3.39,1.2791255120412202,-0.30893788975239217,-2.327694827391575
3.4,1.2759197484023266,-0.3322700870803677,-2.338744638203535
3.41,1.2724801102996128,-0.3557124640864948,-2.3497307630218827
3.42,1.2688054991205968,-0.3792631109312994,-2.360398605939032
3.43,1.2648948480809867,-0.4029173247290556,-2.370444153612218
3.44,1.2607471526260154,-0.42666706902331836,-2.379504705240332
3.45,1.2563615067005203,-0.4505003319234412,-2.387147874784239
3.46,1.2517371459875466,-0.4744003641039526,-2.3928585613180386
3.47,1.2468734994184412,-0.4983447746038035,-2.3960235386521442
3.48,1.2417702504954706,-0.5223044586450699,-2.3959132696011403
3.49,1.23642741024554,-0.5462423275280531,-2.3916605069955015
3.5,1.2308454039449097,-0.5701118061063012,-2.3822352086541168
3.5100000000000002,1.225025174123414,-0.5938550585320718,-2.366415276500005
3.52,1.2189683027742684,-0.6174008981420336,-2.34275264549236
3.5300000000000002,1.2126771561605734,-0.6406623329608434,-2.3095343182695993
3.54,1.2061550561150514,-0.663533695048213,-2.264738099204326
3.5500000000000003,1.199406482259609,-0.685887300916962,-2.2059830745454816
3.56,1.1924373100967123,-0.7075695931940432,-2.130475380870746
3.5700000000000003,1.1852550903957282,-0.7283967230749305,-2.0349505953067193
3.58,1.1778693756352137,-0.7481495525146291,-1.9156152926330001
3.59,1.1702920993454358,-0.7665680895125153,-1.7680921069442475
3.6,1.1625380138449632,-0.7833454260663394,-1.5873752038205593
3.61,1.154625190824109,-0.7981213352274643,-1.3678066284044226
3.62,1.146575587140414,-0.8104758120893509,-1.1030887439728954
3.63,1.1384156745823217,-0.8199230258944291,-0.7863540170427461
3.64,1.1301771266225253,-0.8259063989775195,-0.41032059957532363
3.65,1.1218975466027714,-0.827795851398298,0.03243011541961316
3.66,1.1136212095945595,-0.8248886458500442,0.549010994231153
3.67,1.1053997736857706,-0.8164157126281272,1.145575650152249
3.68,1.097292895341997,-0.801555769477988,1.8264129798755864
3.69,1.089368658296211,-0.7794598612784275,2.59276866003653
3.7,1.0817036981164285,-0.7492889433143044,3.4414149327880788
3.71,1.074382879429925,-0.7102665587196955,4.363061986133701
3.72,1.0674983669420348,-0.6617472124937402,5.3408072590573346
3.73,1.0611479351800501,-0.6032984669937259,6.348941840945537
3.74,1.0554323976021602,-0.5347910378974771,7.352543978304231
3.75,1.0504521144221006,-0.4564866527637426,8.308333048442655
3.7600000000000002,1.0463026645468854,-0.3691091664470816,9.167164214889544
3.77,1.043069931093159,-0.2738820332782329,9.87826241888019
3.7800000000000002,1.0408250238813208,-0.17251654027437552,10.39483618189129
3.79,1.0396196002876716,-0.06714140723804299,10.680190425375216
3.8000000000000003,1.0394821957365599,0.03982493537363904,10.71307809696119
3.81,1.0404160989951443,0.14584535448699956,10.491005725710913
3.8200000000000003,1.0423991028263,0.2484535375697216,10.030630890833493
3.83,1.0453851697465388,0.3454324159890273,9.365144793027646
3.84,1.0493077511460807,0.4349547948396344,8.53933097709378
3.85,1.0540842656433318,0.5156690436069633,7.603518776372013
3.86,1.05962113201822,0.5867253302909065,6.607738560416607
3.87,1.0658187722491501,0.6477494203744484,5.5970794562917865
3.88,1.0725761204257092,0.6987785346296547,4.60874339474948
3.89,1.0797943429417431,0.7401762507768284,3.6707998346852575
3.9,1.0873796454412457,0.7725418200753711,2.8023140250233
3.91,1.0952451793432507,0.7966253081251707,2.0143835849366347
3.92,1.1033121516037492,0.8132553920410399,1.3116331982372014
3.93,1.1115102871840714,0.8232826427049692,0.6938169345486509
3.94,1.1197778044578486,0.8275382347216498,0.15730146878746432
3.95,1.1280610518785046,0.8268063087083425,-0.3036866714489137
3.96,1.1363139306320156,0.8218074425632548,-0.6960865575686346
3.97,1.1444972007297698,0.8131905682434176,-1.027288306398804
3.98,1.1525777419968841,0.8015309219073176,-1.3046409608212017
3.99,1.1605278191679163,0.7873320319037265,-1.5351370398970157
4.0,1.1683243826349587,0.7710301992212635,-1.7252294965955772
4.01,1.1759484231523416,0.7530003367573745,-1.8807429961822073
4.0200000000000005,1.1833843893701064,0.7335623762850778,-2.0068490982771374
4.03,1.1906196706780434,0.7129877190858812,-2.108082341562173
4.04,1.1976441437518242,0.6915054044080398,-2.188380594006119
4.05,1.204449778766204,0.6693078108980349,-2.2511381079948416
4.0600000000000005,1.2110302999697848,0.6465558025244378,-2.299263566724597
4.07,1.217380894816693,0.6233832936440871,-2.3352382093455515
4.08,1.2234979658426668,0.5999012471292284,-2.361171093626182
4.09,1.2293789197592777,0.5762011421688157,-2.3788498984563606
4.1,1.235021988686043,0.5523579599062617,-2.38978655405443
4.11,1.2404260789574029,0.528432739391408,-2.3952575489163115
4.12,1.245590643473871,0.5044747561467607,-2.39633910001314
4.13,1.250515574080338,0.48052337284714786,-2.3939375599094364
4.14,1.2552011109308139,0.45660960743025847,-2.388815523468445
4.15,1.2596477662289431,0.43275745919377606,-2.3816141238280304
4.16,1.2638562601146894,0.408985028589805,-2.372871996966179
4.17,1.2678274668007392,0.38530546179105185,-2.3630413627844575
4.18,1.2715623693505105,0.3617277468329724,-2.3525016288314378
4.19,1.2750620217373985,0.33825738430258867,-2.3415708772453048
4.2,1.2783275170365622,0.31489695216511027,-2.330515550250376
4.21,1.281359960780701,0.29164658137943356,-2.319558606884967
4.22,1.284160448664151,0.26850435642136355,-2.3088863847290337
4.23,1.2867300479091281,0.245466652669263,-2.2986543656910756
4.24,1.2890697817175363,0.22252842076867463,-2.2889920144266007
4.25,1.2911806163245017,0.19968342653919077,-2.280006831470172
4.26,1.29306345024832,0.17692445368025883,-2.271787740316217
4.2700000000000005,1.2947191053981066,0.1542434754383179,-2.264407908071971
4.28,1.2961483197570862,0.13163180048540413,-2.2579270825107836
4.29,1.2973517414078148,0.10908019750298728,-2.252393513972587
4.3,1.2983299237071462,0.08657900234204446,-2.2478455182159762
4.3100000000000005,1.2990833214546558,0.06411821112255194,-2.2443127256825304
4.32,1.2996122879295973,0.04168756222722772,-2.2418170533823116
